id,method,url,resourceType,firstParty,startedAt,outcome,status,statusText,durationMs,failure
1,GET,https://sauce-demo.myshopify.com/,document,true,2026-09-24T10:51:54.337Z,ok,200,,151.2,
2,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/storefront/assets/storefront/storefronts.moderate.specrules-eb468f32.json,other,true,2026-09-24T10:51:54.503Z,ok,200,,21.7,
3,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/theme.scss.css?v=137440661423078363071656106300,stylesheet,true,2026-09-24T10:51:54.503Z,ok,200,,2.2,
4,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.9.0/jquery.min.js,script,false,2026-09-24T10:51:54.503Z,ok,200,,9.2,
5,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/jquery.fancybox.js?v=35668124874407433581394656067,script,true,2026-09-24T10:51:54.503Z,ok,200,,8.3,
6,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/jquery.elevatezoom.js?v=35333893780288212601394656066,script,true,2026-09-24T10:51:54.503Z,ok,200,,8.5,
7,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/storefront/assets/themes_support/option_selection-b017cd28.js,script,true,2026-09-24T10:51:54.503Z,ok,200,,8.6,
8,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/jquery.theme.js?v=42021284561027497791425319943,script,true,2026-09-24T10:51:54.503Z,ok,200,,8.6,
9,GET,https://sauce-demo.myshopify.com/checkouts/internal/preloads.js?locale=en-US,script,true,2026-09-24T10:51:54.503Z,ok,200,,102.1,
10,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js,script,true,2026-09-24T10:51:54.504Z,ok,200,,89.9,
11,GET,https://cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-318ab40a.js,script,false,2026-09-24T10:51:54.504Z,ok,200,,77.4,
12,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/perf-kit/shopify-perf-kit-3.9.4.min.js,script,true,2026-09-24T10:51:54.504Z,ok,200,,100.3,
13,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/logo.png?v=75283676530009549261394657629,image,true,2026-09-24T10:51:54.504Z,ok,200,,27.8,
14,GET,https://sauce-demo.myshopify.com/cdn/shop/products/fleece_large.jpg?v=1394656989,image,true,2026-09-24T10:51:54.504Z,ok,200,,26.4,
15,GET,https://sauce-demo.myshopify.com/cdn/shop/products/jacket_large.jpg?v=1394657254,image,true,2026-09-24T10:51:54.504Z,ok,200,,57.6,
16,GET,https://sauce-demo.myshopify.com/cdn/shop/products/top-striped_large.jpg?v=1394657204,image,true,2026-09-24T10:51:54.504Z,ok,200,,57.3,
17,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/cc-amex.png?v=85206210438157468371394656065,image,true,2026-09-24T10:51:54.504Z,ok,200,,71.3,
18,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/cc-visa.png?v=60401960785579442311394656066,image,true,2026-09-24T10:51:54.504Z,ok,200,,89.6,
19,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/cc-mastercard.png?v=163639441997642668931394656066,image,true,2026-09-24T10:51:54.504Z,ok,200,,108,
20,GET,https://cdn.shopify.com/storefront/standard-actions.js,script,false,2026-09-24T10:51:54.504Z,ok,200,,24.4,
21,GET,https://dk7vxmpleem9z.cloudfront.net/sgmnt.min.js,script,false,2026-09-24T10:51:54.540Z,failed,,,37,net::ERR_BLOCKED_BY_ORB
22,POST,https://sauce-demo.myshopify.com/.well-known/shopify/monorail/unstable/produce_batch,ping,true,2026-09-24T10:51:54.541Z,ok,200,,122.6,
23,GET,https://sauce-demo.myshopify.com/cdn/wpm/bc8540278we853e1abpb62b2c4amde256306m.js,script,true,2026-09-24T10:51:54.541Z,ok,200,,66.2,
24,POST,https://sauce-demo.myshopify.com/.well-known/shopify/monorail/unstable/produce_batch,ping,true,2026-09-24T10:51:54.541Z,ok,200,,101.7,
25,GET,https://sauce-demo.myshopify.com/cdn/s/trekkie.storefront.f1ba865b3fecd812ad617f74ac079261075e9edb.min.js,script,true,2026-09-24T10:51:54.542Z,ok,200,,64.3,
26,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/storefront/assets/shop_events_listener-4e26a9ce.js,script,true,2026-09-24T10:51:54.543Z,ok,200,,62.6,
27,GET,https://connect.facebook.net/en_US/fbds.js,script,false,2026-09-24T10:51:54.549Z,ok,200,,71.8,
28,GET,https://tag.marinsm.com/serve/55f0a404808337080a0001ab.js,script,false,2026-09-24T10:51:54.549Z,ok,301,,14.4,
29,GET,https://www.marinsoftware.com/,script,false,2026-09-24T10:51:54.564Z,failed,,,127,net::ERR_BLOCKED_BY_ORB
30,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/sprite.png?v=19773218180732711381394656067,image,true,2026-09-24T10:51:54.621Z,ok,200,,34.6,
31,GET,https://sauce-demo.myshopify.com/cdn/shop/t/2/assets/sprite.png?v=197732181807327113813946560675,image,true,2026-09-24T10:51:54.625Z,ok,200,,29.4,
32,POST,https://sauce-demo.myshopify.com/api/collect,fetch,true,2026-09-24T10:51:54.668Z,failed,200,,188.5,net::ERR_ABORTED
33,POST,https://sauce-demo.myshopify.com/.well-known/shopify/monorail/unstable/produce_batch,ping,true,2026-09-24T10:51:54.713Z,ok,200,,129.1,
34,GET,https://sauce-demo.myshopify.com/web-pixels@c8540278we853e1abpb62b2c4amde256306/web-pixel-shopify-app-pixel@0530/sandbox/worker.modern.js,script,true,2026-09-24T10:51:54.805Z,ok,200,,152.4,
35,POST,https://otlp-http-production.shopifysvc.com/v1/metrics,fetch,false,2026-09-24T10:51:54.810Z,ok,200,,116.7,
36,GET,https://sauce-demo.myshopify.com/web-pixels@c8540278we853e1abpb62b2c4amde256306/custom/web-pixel-shopify-custom-pixel@0530/sandbox/modern/,document,true,2026-09-24T10:51:54.816Z,ok,200,,28.7,
37,POST,https://sauce-demo.myshopify.com/.well-known/shopify/monorail/unstable/produce_batch,ping,true,2026-09-24T10:51:54.850Z,ok,200,,110.7,
38,POST,https://sauce-demo.myshopify.com/.well-known/shopify/monorail/unstable/produce_batch,ping,true,2026-09-24T10:51:54.850Z,ok,200,,140.8,
39,POST,https://sauce-demo.myshopify.com/.well-known/shopify/monorail/unstable/produce_batch,ping,true,2026-09-24T10:51:54.850Z,ok,200,,104,
40,POST,https://sauce-demo.myshopify.com/.well-known/shopify/monorail/unstable/produce_batch,ping,true,2026-09-24T10:51:54.859Z,ok,200,,101.5,
41,GET,https://sauce-demo.myshopify.com/cdn/wpm/sc8540278we853e1abpb62b2c4amde256306m.js,script,true,2026-09-24T10:51:54.866Z,ok,200,,32.5,
42,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/storefront/assets/storefront/webmcp-c6b62ece.js,script,true,2026-09-24T10:51:54.878Z,ok,200,,22.8,
43,GET,https://sauce-demo.myshopify.com/cdn/wpm/sc8540278we853e1abpb62b2c4amde256306m.js,other,true,2026-09-24T10:51:54.878Z,ok,200,,18.5,
44,GET,https://www.facebook.com/tr/?id=395560230629559&ev=PixelInitialized&dl=https%3A%2F%2Fsauce-demo.myshopify.com%2F&rl=&if=false&v=1.1.1&a=fbds_js&ts=1790247114872,image,false,2026-09-24T10:51:54.878Z,ok,200,,59.3,
45,GET,https://sauce-demo.myshopify.com/web-pixels/strict/app/web-pixel-shopify-app-pixel@0530.js,other,true,2026-09-24T10:51:54.927Z,ok,200,,26.6,
46,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/checkout-web/assets/c1/polyfills.QSVzdYsv.js,other,true,2026-09-24T10:51:54.963Z,ok,200,,34.6,
47,GET,https://s.adroll.com/j/roundtrip.js,script,false,2026-09-24T10:51:55.004Z,ok,200,OK,20,
48,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/checkout-web/assets/c1/app.A60-IfPs.js,other,true,2026-09-24T10:51:55.004Z,ok,200,,24.8,
49,POST,https://sauce-demo.myshopify.com/.well-known/shopify/monorail/unstable/produce_batch,ping,true,2026-09-24T10:51:55.010Z,ok,200,,117.3,
50,GET,https://s.adroll.com/j/pre/RLFWQFGQMZC2ZEMERYUQ34/GKTPKTIEIVDXDB73OLEF43/fpconsent.js,script,false,2026-09-24T10:51:55.047Z,ok,302,Moved Temporarily,9.5,
51,GET,https://s.adroll.com/j/pre/RLFWQFGQMZC2ZEMERYUQ34/GKTPKTIEIVDXDB73OLEF43/index.js,script,false,2026-09-24T10:51:55.047Z,ok,200,OK,15.3,
52,GET,https://s.adroll.com/j/pre/index.js,script,false,2026-09-24T10:51:55.060Z,ok,200,OK,7.2,
53,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/checkout-web/assets/c1/esnext-vendor.D7ldIee_.js,other,true,2026-09-24T10:51:55.060Z,ok,200,,37.2,
54,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/checkout-web/assets/c1/context-browser.CzQjCL-z.js,other,true,2026-09-24T10:51:55.094Z,ok,200,,33.9,
55,GET,https://d.adroll.com/consent/check/RLFWQFGQMZC2ZEMERYUQ34?pv=19174495301.376675&arrfrr=https%3A%2F%2Fsauce-demo.myshopify.com%2F&_s=42320269f9ca4cd0be5e6c031070cb35&_b=2,script,false,2026-09-24T10:51:55.184Z,pending,,,,
56,GET,https://sauce-demo.myshopify.com/cdn/shopifycloud/checkout-web/assets/c1/addresses-is-address-empty.-MuOhIyI.js,other,true,2026-09-24T10:51:55.190Z,ok,200,,,
57,POST,https://otlp-http-production.shopifysvc.com/v1/metrics,ping,false,2026-09-24T10:51:55.219Z,pending,,,,
58,POST,https://otlp-http-production.shopifysvc.com/v1/logs,ping,false,2026-09-24T10:51:55.219Z,pending,,,,
