"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Web Shop","0","Product Catalog API","2","0","Catalog API","0"
"0","Allure Showcase","0","Attachments","1","0","Custom attachment types","0"
"0","Allure Showcase","0","Report metadata","1","0","Labels and links","0"
"0","Web Shop","0","Authentication","4","0","Client-side validation","0"
"0","Allure Showcase","0","Test statuses","0","3","","0"
"0","Allure Showcase","0","Test statuses","1","0","Expected failure","0"
"0","Web Shop","0","Product Search","4","0","Search by keyword","0"
"0","Web Shop","0","Product Catalog","4","0","Open product details","0"
"0","Allure Showcase","0","Detailed steps","1","0","Step hierarchy","0"
"0","Allure Showcase","0","Console & logging","1","0","Console capture","0"
"0","Web Shop","0","Shopping Cart","3","0","Add to cart","0"
"0","Web Shop","0","Product Catalog","3","0","Browse catalog","0"
"0","Web Shop","0","Product Catalog","1","0","Error pages","0"
"0","Web Shop","0","Authentication","3","0","Reject invalid credentials","0"
"0","Web Shop","0","Checkout","1","0","Checkout validation","0"
"0","Web Shop","0","Shopping Cart","2","0","View cart","0"
"0","Web Shop","0","Product Catalog API","1","0","Error handling","0"
"0","Web Shop","0","Authentication","1","0","Protect customer area","0"
"0","","0","","0","1","","0"
"0","Web Shop","0","Shopping Cart","1","0","Update quantity","0"
"0","Allure Showcase","0","Visual evidence","1","0","Screenshots, video and trace","0"
"0","Web Shop","0","Authentication","1","0","Login form","0"
"0","Web Shop","0","Shopping Cart","1","0","Remove from cart","0"
"0","Web Shop","0","Product Catalog","1","0","Choose product variant","0"
"0","Web Shop","0","Checkout","2","0","Enter shipping details","0"
"0","Allure Showcase","0","Network & performance","1","0","Page timings","0"
"0","Web Shop","0","Product Catalog API","1","0","Stock availability","0"
"0","Web Shop","0","Authentication","1","0","Password recovery","0"
"0","Web Shop","0","Product Catalog","2","0","Stock availability","0"
"0","Allure Showcase","0","Test statuses","1","0","Flaky","0"
"0","Allure Showcase","0","Report metadata","1","0","Parameters","0"
"0","Web Shop","0","Authentication","1","0","Registration","0"
"0","Allure Showcase","0","Test statuses","0","2","Skipped","0"
"0","Web Shop","0","Checkout","1","0","Start checkout","0"
"0","Web Shop","0","Checkout","1","0","Discounts","0"
