"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","440","KNOWN ISSUE: automated sign-in is blocked by hCaptcha","chromium","2026-09-22","skipped","2026-09-22","Allure feature showcase > Result statuses","showcase/allure-features.spec.ts","",""
"","3736","Browser validation flags malformed email ""@missing-local.org""","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"","712","SKIPPED: runs on WebKit only","chromium","2026-09-22","skipped","2026-09-22","Allure feature showcase > Result statuses","showcase/allure-features.spec.ts","",""
"","6562","Cart total equals the sum of all line totals","chromium","2026-09-22","passed","2026-09-22","Shopping cart","cart/cart.spec.ts","",""
"Cross-checks the **UI** against the storefront **API** (`/products/<handle>.js`) and the test data file.","1726","Product page shows correct title and price for Grey jacket","chromium","2026-09-22","passed","2026-09-22","Product details","products/product-details.spec.ts","",""
"Steps nest to any depth; each shows its own **duration**. Step parameters appear next to the step name.","2754","Nested steps with parameters, timings and log steps","chromium","2026-09-22","passed","2026-09-22","Allure feature showcase","showcase/allure-features.spec.ts","",""
"","4031","Removing the only item empties the cart","chromium","2026-09-22","passed","2026-09-22","Shopping cart","cart/cart.spec.ts","",""
"","6369","Customer reaches checkout with the correct order summary","chromium","2026-09-22","passed","2026-09-22","Checkout","checkout/checkout.spec.ts","",""
"","461","BROKEN: test exceeds its timeout (infrastructure problem)","chromium","2026-09-22","skipped","2026-09-22","Allure feature showcase > Result statuses","showcase/allure-features.spec.ts","",""
"","3485","Header ""Sign up"" link opens the registration form","chromium","2026-09-22","passed","2026-09-22","Account access","auth/account-access.spec.ts","",""
"Cross-checks the **UI** against the storefront **API** (`/products/<handle>.js`) and the test data file.","1857","Product page shows correct title and price for Striped top","chromium","2026-09-22","passed","2026-09-22","Product details","products/product-details.spec.ts","",""
"Submitting wrong credentials must never create a session. The storefront shields the form with **hCaptcha**, so the expected outcome is: the customer stays on the login page and no ""Log out"" link appears.","4390","Invalid credentials do not authenticate the user (unknown user)","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"","3067","Submitting an empty form keeps the customer signed out","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"","2269","Searching ""shades"" returns the matching products","chromium","2026-09-22","passed","2026-09-22","Product search","products/search.spec.ts","",""
"","1657","Sold-out product ""White sandals"" cannot be added to the cart","chromium","2026-09-22","passed","2026-09-22","Product details","products/product-details.spec.ts","",""
"The customer area must never render for anonymous users. Shopify redirects to login and keeps a `return_url`.","2437","Anonymous visitors are redirected from /account to the login page","chromium","2026-09-22","passed","2026-09-22","Account access","auth/account-access.spec.ts","",""
"","1981","Variant selectors expose every size and colour","chromium","2026-09-22","passed","2026-09-22","Product details","products/product-details.spec.ts","",""
"Submitting wrong credentials must never create a session. The storefront shields the form with **hCaptcha**, so the expected outcome is: the customer stays on the login page and no ""Log out"" link appears.","4078","Invalid credentials do not authenticate the user (sql-injection attempt)","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"Setup is done through the storefront **API** (fast, not under test); only the quantity change is exercised in the UI.","3613","Changing the quantity recalculates line and cart totals","chromium","2026-09-22","passed","2026-09-22","Shopping cart","cart/cart.spec.ts","",""
"","5506","Adding a product updates the header cart counter","chromium","2026-09-22","passed","2026-09-22","Shopping cart","cart/cart.spec.ts","",""
"","2928","Browser validation flags malformed email ""user name@example.com""","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"","2243","""Forgot your password?"" swaps the login form for the recovery form","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"Screenshots are taken at each **checkpoint**; the whole run is recorded as **video** and a **Playwright trace** (download it from the report and open it with `npx playwright show-trace trace.zip` or https://trace.playwright.dev).","6322","Full shopping journey with checkpoints, video and trace","chromium","2026-09-22","passed","2026-09-22","Allure feature showcase","showcase/visual-evidence.spec.ts","",""
"Uses `page.route()` to **abort** `/cart/add.js`, simulating an outage. The failed request is visible in the ""Failed network requests"" attachment and the cart must remain empty.","3898","Add to cart fails gracefully when the cart service is unreachable","chromium","2026-09-22","passed","2026-09-22","Shopping cart","cart/cart.spec.ts","",""
"","3421","UI cart and /cart.js API stay in sync","chromium","2026-09-22","passed","2026-09-22","Shopping cart","cart/cart.spec.ts","",""
"","1534","EXPECTED FAILURE: known defect marked with test.fail()","chromium","2026-09-22","passed","2026-09-22","Allure feature showcase > Result statuses","showcase/allure-features.spec.ts","",""
"","458","FAILED: cart total assertion (intentional product defect)","chromium","2026-09-22","skipped","2026-09-22","Allure feature showcase > Result statuses","showcase/allure-features.spec.ts","",""
"Cross-checks the **UI** against the storefront **API** (`/products/<handle>.js`) and the test data file.","1824","Product page shows correct title and price for Bronze sandals","chromium","2026-09-22","passed","2026-09-22","Product details","products/product-details.spec.ts","",""
"","2868","Header navigation leads from home page to catalog","chromium","2026-09-22","passed","2026-09-22","Product catalog","products/catalog.spec.ts","",""
"","325","Unknown product handle answers HTTP 404","chromium","2026-09-22","passed","2026-09-22","Storefront API","products/products-api.spec.ts","",""
"","2592","Browser validation flags malformed email ""plainaddress""","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"","1939","Sold-out product ""Brown Shades"" cannot be added to the cart","chromium","2026-09-22","passed","2026-09-22","Product details","products/product-details.spec.ts","",""
"","9133","Shipping details are accepted for UK resident","chromium","2026-09-22","passed","2026-09-22","Checkout","checkout/checkout.spec.ts","",""
"","251","Every product exposes a valid schema","chromium","2026-09-22","passed","2026-09-22","Storefront API","products/products-api.spec.ts","",""
"The ""Catalog"" page must show all **7** products of the store.","3011","Catalog lists every published product","chromium","2026-09-22","passed","2026-09-22","Product catalog","products/catalog.spec.ts","",""
"","1746","Custom attachments: JSON, CSV, XML, log file, HTML, SVG and images","chromium","2026-09-22","passed","2026-09-22","Allure feature showcase","showcase/allure-features.spec.ts","",""
"","390","GET /products.json returns the full catalog quickly","chromium","2026-09-22","passed","2026-09-22","Storefront API","products/products-api.spec.ts","",""
"Simulates a race condition. The first attempt fails, the retry passes: Allure shows it as passed with a **flaky** mark and lists every attempt under **Retries**.","1408","FLAKY: fails on the first attempt, passes on retry","chromium","2026-09-22","passed","2026-09-22","Allure feature showcase > Result statuses","showcase/allure-features.spec.ts","",""
"","9951","Shipping details are accepted for Name with apostrophe","chromium","2026-09-22","passed","2026-09-22","Checkout","checkout/checkout.spec.ts","",""
"","1740","A new visitor starts with an empty cart","chromium","2026-09-22","passed","2026-09-22","Shopping cart","cart/cart.spec.ts","",""
"","3436","Customer can open a product from the catalog","chromium","2026-09-22","passed","2026-09-22","Product catalog","products/catalog.spec.ts","",""
